question_id,student_answer,final_mark,Crtierion 1,Criterion 2,Criterion 3,Criterion 4,Criterion 5,Crtierion 1_num,Criterion 2_num,Criterion 3_num,Criterion 4_num,Criterion 5_num
s3_9,"FUNCTION closestPairSum(arr):       SORT arr in acending order       SET minDiff = infinity       SET pairsList = empty list       for i from 0 to length of arr - 1:           SET diff = ABS(arr[i] - arr[i+1]           if diff < minDiff:             SET minDiff = diff             SET pairsList = [(arr[i], arr[i+1])]           ELSE IF diff == minDiff           ADD (arr[i], arr[i+1]) to pairsList       SET maxAbsSum = 0       FOR each  pair in pairsList:           SET absSum = ABS(pair[0])+ABS(pair[1])           if absSum > maxAbsSum:               SET maxAbsSum = absSum       RETURN maxAbsSum",6.5,3-Sorting but missing tie rule,1-Minor inefficiency in nested loop,"1.5-Handles n=2, negatives/positives but not one closest pair",1-Understandable but unclear return format,,3,1,1,1,0
s3_2,"FUNCTION GBFS_PATH(adj, names, tone, start_idx, exit_idx):     CREATE priority queue PQ     CREATE list PARENT of size N,  initialized to -1     CREATE empty set VISITED     PUSH (tone[start_idx], names[start_idx], start_idx) into PQ     WHILE PQ is not empty:         POP(curr_tone, curr_name, u) from PQ         IF u is in VISITED:             CONTINUE         ADD u to VISITED         IF u == exit_idx:             CREATE empty list PATH             While u != -1:                 APPEND names[u] to PATH                 u = PARENT[u]             REVERSE PATH             RETURN PATH         FOR each neighbor v in adj[u]:             IF v not in VISITED:                   PARENT[v] = u                   PUSH( tone[v], names[v], v)     RETURN NULL // No path found",9,1-Explicit PQ selection,3,2,2,1,1,3,2,2,1
s3_1,"function rearrangeWorkshop(arr):        count = 0     initialize dict1     initialize dict2        for i in range(0,len(arr)):         dict1[i] = arr[i]     arr.sort()     for i in range(0,len(arr)):         dict2[i] = arr[i]     for i in range(0,len(arr)):         if(dict1[i]!=dict2[i]):             count+=1     if (len(arr))%2 == 0:         return count-1     else:         return count//2",7,"2 - Overall logic is identified, but not using descending. some logical errorss are there",2,"1 - using even, odd logic which is not required, min swapss =! mismatched  positions",2,,2,2,1,2,0
s3_8,"function groceryShopping(m, arr)       size = arr.size          for i from 0 to size           for j from i+1 to size)               if (arr[i]+arr[j])= m):                 if(i>=j):                     return j+1,i+1                 else:                     return i+1,j+1",5,"2 - Brute force pair checking, no complement map logic",0 - Nested loops so it is O(n squared),1 - Uses j = i+1 so indices are distinct but trips and duplicates are not handled,2 - Returns 1 based indices in ascending order,,2,0,1,2,0
s3_9,"function closestPairSum(arr)         sort arr in ascending order         size = arr.size         initialize lookupdict         tuples = []         do           absolute_diff = arr[i]-arr[i-1]           lookupdict[(arr[i-1],arr[i])] = absolute_diff          for i 0 to size            min_key = minimum of (lookupdict.values)               for i in lookupdict.keys():           if lookupdict[i] == min_key:               tuples.append(i)         if tuples.size == 1:           return abs(tuples[0][0])+abs(tuples[0][1])         else:           maxlist = []           for i in tuples:               maxlist.append(abs(i[0])+abs(i[1]))  // abs - absolute           return maximum of maxlist",6,4 - Correct logic for finding the minimum difference and selecting the maximum absolute sum among ties.,"0 - Using a dictionary and multiple lists for N = 200,000",1 - Loop 0 to size with arr[i-1],1,,4,0,1,1,0
s3_11,"BFS(G,s)  (Code uses modified BFS with a visited set)   1.for each vertex u in V[G] - {s}   2        do color[u]",0,0 - Not this problem,0 - No infection logic,0 - No grid handling,0 - No edge cases,0 - No output,0,0,0,0,0
s3_3,"function heuristic function:         return (vertical distance + horizontal distance)      // Manhattan distance      function solve:         obtain start node, goal node, grid         initialize visited set, came_from , g_score and pq(priority queue)       intialize total time = 0       while pq:           _,current = heapq.heappop(pq)              if current == goal:               while current in came_from:                   current = came_from[current]                   if grid[current[0]][current[1]] == ""."":                           total_time +=1                   elif grid[current[0]][current[1]] ==""T"":                           total_time +=3               return total_time              visited.add(current)           for dr,dc in [(-1,0),(1,0),(0,-1),(0,1)]:                       nr,nc = current[0]+dr,current[1]+dc               neighbor = (nr,nc)               if(0",7,2 - Correctly identified,2 - No direct cost handling,1 - Not an optimal one,1,1,2,2,1,1,1
s3_4,Hill Climbing Algorithm modified,0,0-Not answered,0-Not answered,0-Not answered,0-Not answered,0-Not answered,0,0,0,0,0
s3_5,"PseudoCode      function solve_one(gridlines,K):         Obtain rows, goal ,start , portal_to = parse_grid(gridlines)         Initialize pq // Priority que to get cheapest cnost neighbor          Initialize came_from // Dictionary to keep track of path            pq.append(start)            moves = 0         route = ''         rings = {}             while pq:               current = pq.leftpop()    // obtain the current point               route = ''               if current == goal:                   backtrack ""came_from"" and add string letters to route                   reverse route                   return moves, route, rings               for dr, dc, Letter in DIRS:      // Check for all directions from the current point                 next = current[0]+dr, current[1]+dc                 status = Check if its possible to enter the ""next"" node                 if status == true:                       add next to pq                       came_from[next] = current                       route += Letter              return -1,-,rings",0,0-wrong algorithm,0-no meaningful rules,0-no ring tracking,0-no reconstruction,0-missing output,0,0,0,0,0
s3_8,for prices in item list     for the prices which are not selected at first     check if we get 1st price and compare with other values they give the amount     then return the indexes+1 value     do it for all possible pairs,4,"2 - Brute force pair checking idea, no complement map logic",0 - Checks all pairs so it is O(n squared),1 - Mentions not reusing first selected item but trips and duplicates are not handled,1 - Says return index plus 1 but sorting and print format are not shown,,2,0,1,1,0
