Question ID,Question,Probelm Statement
s1_1,,"DEVELOP A PYTHON PROGRAM THAT TAKES A LIST OF POSITIVE INTEGERS SEPARATED BY COMMAS AS THE INPUT. FOR EACH INTEGER, THE PROGRAM SHOULD FIRST CONCATENATE THE NUMBER WITH ITSELF to PRODUCE ITS â€œDOUBLEâ€ AND THEN OUTPUT THE SUM OF ALL THESE DOUBLED NUMBERS. Example: Input: 1,26,73 Output: 10010 Explanation: Double of 1 is 11 Double of 26 is 2626 Double of 73 is 7373 total sum = 11 + 2626 + 7373 = 10010"
s1_10,,"PROBLEM A positive integer X is called a HAPPY NUMBER if the following process ends in 1.  * Starting with X, replace the number by the sum of the squares of its digits.  * Repeat the process until the number equals 1, or IT LOOPS ENDLESSLY in a cycle without reaching 1. For example, 13 is a happy number because 12 + 32 = 10, and 12 + 02 = 1. On the other hand, 4 is not a happy number because the sequence starting with 42 = 16 and 12 + 62 = 37, â€¦, eventually gets us back to 22 + 02 = 4, where we started the sequence, and so the process continues in an infinite cycle without ever reaching 1. Develop a Python program that takes A FILENAME AS INPUT. The file contains a list of N â‰¥ 1 positive numbers, and outputs the UNIQUE HAPPY NUMBERS in the list. You must define and use at least one function in your program. HINT: The process will get into an endless loop if we reach a number which is one of 4, 16, 37, 58, 89, 145, 42, 20. INPUT FORMAT:The input file contains a list of N â‰¥ 1 positive integers separated by space on a single line. Note that a number may be repeated several times, i.e., numbers may be replicated. OUTPUT FORMAT:A single line containing one of the following:  * A space-separated list of UNIQUE HAPPY NUMBERS from the input list. The unique numbers should be listed in the order they first appeared in the input list.  * If there are no happy numbers in the input list, then output the string â€œNoneâ€. EXAMPLE: INPUT (CONTENTS OF FILE): 19 2 OUTPUT: 19 EXPLANATION:Input list has 2 numbers 19 and 2.  * Input number 19:  * 19 â†’ 12 + 92 = 82 â†’ 82 + 22 = 68 â†’ 62 + 82 = 100 â†’ 12 + 02 + 02 = 1  * Since the process reaches 1, 19 is a happy number.  * Input number 2:  * 2 â†’ 22 = 4 â†’ 42 = 16 â†’ 12 + 62 = 37 â†’ 32 + 72 = 58 â†’ 52 + 82 = 89 â†’ 82 + 92 = 145 â†’ 12 + 42 + 52= 42 â†’ 42 + 22 = 20 â†’ 22 + 02 = 4  * The sequence will be 2, 4, 16, 37, 58, 89, 145, 42, 20, 4, â€¦and repeated.  * This enters a never ending cycle 4, 16, 37, 58, 89, 145, 42, 20 that does not reach 1, so 2 is not a happy number."
s1_11,,"PROBLEM: Develop a Python program that shifts alphabetic characters in a given string by a given positive integer, wrapping around within the alphabet. Non-alphabetic characters remain unchanged. Input consists of two lines: the first is the TEXT string, and the second is the integer specifying the SHIFT value. The text string will contain at least one character. HINT: You may use the ORD() and CHR() functions. EXAMPLE 1: INPUT: pyTHon 2 Output: raVJqp Explanation: Shift each letter in ""pyTHon"" by 2 positions: 'p' â†’ 'r' 'y' â†’ 'a' 'T' â†’ 'V' 'H' â†’ 'J' 'o' â†’ 'q' 'n' â†’ 'p'"
s1_12,,"PROBLEM: Develop a Python program that takes a list of integers (separated by space) as input and checks if any number appears at least twice in the list. If any number appears more than once, the program should output True; otherwise, output False. HINT: The list sort( ) function may be useful. If A is a list, then A.sort( ) will sort its contents. EXAMPLE: Input: 3 1 4 2 5 3 Output: True"
s1_13,,"PROBLEM: Develop a Python program that takes a sentence as input and outputs the length of the longest word in the sentence. Assume that the sentence contains at least one word, words are separated by spaces and a word contains only alphabetical characters (a-z and A-Z). Example: Input: I love coding Output: 6 Explanation: There are 3 words here: â€œIâ€, â€œloveâ€ and â€œcodingâ€ and the longest word is â€œcodingâ€ whose length is 6. So 6 is the output."
s1_14,,"PROBLEM: Develop a Python program that takes a string of words as input and reverses each word in the string while maintaining the original order of the words. The words in the input are separated by space. Assume that the input contains at least one word, and a word contains at least one character. Finally output the modified string. You are not allowed to use the REVERSED( ) built-in function or the LIST.REVERSE( ) method. EXAMPLE 1: INPUT: ""Hello World"" OUTPUT: ""olleH dlroW"" EXAMPLE 2: INPUT:â€œI was abaâ€ OUTPUT: â€œI saw abaâ€"
s1_15,,"Problem: Develop a Python program to take as input a list A of n integers (n â‰¥ 1) and output a list B of n binary numbers (0s and 1s). For each integer A[i] in list A, you will compare it to the sum of its immediate left and right neighbours to decide the corresponding value B[i] in B. Specifically:  * If A[i] is greater than (A[i-1] + A[i+1]), the sum of its left and right neighbours, then B[i] = 1.  * Otherwise B[i] = 0.  * Special case: When i=0, there is no A[i-1], so assume the left neighbour is 0.  * Special case: When i=n-1, there is no A[i+1], so assume the right neighbour is 0. Finally, output the list B. The input list A is given as a space-separated list of integers, where its length n â‰¥ 1. Example 1: Input:15927378← list A Output : 00101001← list B Explanation : First Element, i=0, A[0] is 1: -Left neighbour: 0 (since it has no left neighbour) - Right neighbor: 5 - Sum of neighbors: 0 + 5 = 5 - Comparison: 1 is not greater than 5 â†’ Output, B[0] is 0 Second Element, i=1, A[1] is 5: - Left neighbor: 1 - Right neighbor: 9 - Sum of neighbors: 1 + 9 = 10 - Comparison: 5 is not greater than 10 â†’ Output, B[1] is 0 Last Element, i=7, A[7] is 8: - Left neighbor: 7 - Right neighbour: 0 (since it has no right neighbour) - Sum of neighbours: 7 + 0 = 7 - Comparison: 8 is greater than 7 â†’ Output, B[7] is 1"
s1_16,,"Problem: Given a nxn square matrix of integers as the input, develop a Python program to calculate and output the absolute difference between the sum of its primary diagonal elements and the sum of its secondary diagonal elements. Input Format:  * The input has n+1 lines  * The first line contains a single integer n, the size of the matrix (n x n).  * The next n lines each contain n space-separated integers representing the matrix. Example: Input: 3 112 4 456 108-12 Output: 15 EXPLANATION: The sum of the primary diagonal elements = 11+5+(-12)=4. The sum of the secondary diagonal elements = 4+5+10=19. Therefore the absolute difference between the two sums=|19 - 4| = 15, which is the output."
s1_17,,"Problem: You are given as input a list of distinct integer numbers separated by commas. The numbers are in a continuous range [min_value, max_value], but one number from this range is missing in the input list. The min_value is the minimum number in the input list, and the max_value is calculated as min_value + length of the list. Develop a Python program to find and outputthe missing number. Assume that the input contains at least one number and that 0 and negative numbers are valid inputs. An incomplete Python program for this task has been provided to you. You may use it to complete the program if you want. Example 1: Input: 4,2,1 Output: 3 Explanation:  * min_value = 1  * max_value = 1 + length = 1 + 3 = 4  * from the range [1, 4], 3 is the missing number in the input list.  * Thus 3 is output."
s1_18,,"PROBLEM: SUM OF NUMBERS DIVISIBLE BY A GIVEN NUMBER You are given a list L of positive integers and another positive integer n as input. Develop a Python program to find in L all numbers that are divisible by n and then output the sum of those numbers. INPUT: There are two lines of input, as follows:  * The first line: a list, L, of positive integers separated by spaces; L has at least one number.  * The second line: a single integer n, where n â‰¥ 1. OUTPUT: The sum of all numbers in the list L that are divisible by n. EXAMPLE: INPUT: 123 456 789 103 250âŸ¶ the list L of integers 3âŸ¶ n=3 OUTPUT: 1368 Explanation: In the list L, the numbers divisible by n=3 are 123, 456 and 789. The sum of those numbers = 123 + 456 + 789 = 1368. So 1368 is the output."
